ID	NAME	EQUATION	GENE ASSOCIATION	subsystem_unique_@2021_12
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[m] + H2O[m] + phosphoenolpyruvate[m] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[m] + phosphate[m]	YDR035W or YBR249C	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"
r_0021	"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase"	"2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + S-adenosyl-L-methionine[m] => 2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone[m] + H+[m] + S-adenosyl-L-homocysteine[m]"	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	"2-hexaprenyl-6-methoxyphenol[m] + oxygen[m] => 2-hexaprenyl-6-methoxy-1,4-benzoquinone[m] + H2O[m]"	YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )
r_0023	2-isopropylmalate hydratase	2-isopropylmaleic acid[c] + H2O[c] <=> 2-isopropylmalate[c]	YGL009C	"valine, leucine and isoleucine metabolism"
r_0024	2-isopropylmalate synthase	3-methyl-2-oxobutanoate[c] + acetyl-CoA[c] + H2O[c] => 2-isopropylmalate[c] + coenzyme A[c] + H+[c]	YNL104C or YOR108W	"valine, leucine and isoleucine metabolism"
r_0025	2-isopropylmalate synthase	3-methyl-2-oxobutanoate[m] + acetyl-CoA[m] + H2O[m] => 2-isopropylmalate[m] + coenzyme A[m] + H+[m]	YNL104C	"valine, leucine and isoleucine metabolism"
r_0026	2-keto-4-methylthiobutyrate transamination	4-methylthio-2-oxobutanoate[c] + L-glutamate[c] => 2-oxoglutarate[c] + L-methionine[c]	YHR208W or YJR148W or YGL202W or YHR137W	cysteine and methionine metabolism ( sce00270 )
r_0027	2-methylcitrate dehydratase	"homocitrate[m] <=> but-1-ene-1,2,4-tricarboxylic acid[m] + H2O[m]"	YDR234W	lysine metabolism
r_0028	2-methylcitrate synthase	H2O[m] + oxaloacetate[m] + propionyl-CoA[m] => 2-methylcitrate[m] + coenzyme A[m] + H+[m]	YPR001W	propanoate metabolism ( sce00640 )
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	(2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] => 4-methyl-2-oxopentanoate[c] + carbon dioxide[c]	YJR148W	"valine, leucine and isoleucine metabolism"
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	(2S)-2-isopropyl-3-oxosuccinate[m] + H+[m] => 4-methyl-2-oxopentanoate[m] + carbon dioxide[m]	YHR208W	"valine, leucine and isoleucine metabolism"
r_0032	"3',5'-bisphosphate nucleotidase"	"adenosine 3',5'-bismonophosphate[c] + H2O[c] => AMP[c] + phosphate[c]"	YOL064C	sulfur metabolism ( sce00920 )
r_0033	"3',5'-cyclic-nucleotide phosphodiesterase"	"3',5'-cyclic AMP[c] + H2O[c] => AMP[c] + H+[c]"	YGL248W or YOR360C	purine metabolism ( sce00230 )
r_0034	"3',5'-cyclic-nucleotide phosphodiesterase"	"3',5'-cyclic dAMP[c] + H2O[c] => dAMP[c] + H+[c]"	YOR360C	purine metabolism ( sce00230 )
r_0035	"3',5'-cyclic-nucleotide phosphodiesterase"	"3',5'-cyclic IMP[c] + H2O[c] => H+[c] + IMP[c]"	YOR360C	purine metabolism ( sce00230 )
r_0036	"3',5'-cyclic-nucleotide phosphodiesterase"	"3',5'-cyclic GMP[c] + H2O[c] => GMP[c] + H+[c]"	YOR360C	purine metabolism ( sce00230 )
r_0037	"3',5'-cyclic-nucleotide phosphodiesterase"	"3',5'-cyclic CMP[c] + H2O[c] => CMP[c] + H+[c]"	YOR360C	purine metabolism ( sce00230 )
r_0038	"3,4-dihydroxy-2-butanone-4-phosphate synthase"	D-ribulose 5-phosphate[c] => 2-hydroxy-3-oxobutyl phosphate[c] + formate[c] + H+[c]	YDR487C	riboflavin metabolism ( sce00740 )
r_0039	3-dehydroquinate dehydratase	3-dehydroquinate[c] => 3-dehydroshikimate[c] + H2O[c]	YDR127W	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"
r_0040	3-dehydroquinate synthase	7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] => 3-dehydroquinate[c] + phosphate[c]	YDR127W	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"
r_0041	3-dehydrosphinganine reductase	3-ketosphinganine[er] + H+[er] + NADPH[er] => NADP(+)[er] + sphinganine[er]	YBR265W	sphingolipid metabolism ( sce00600 )
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	YBR249C or YDR035W	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"
r_0043	"3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase"	"3-hexaprenyl-4-hydroxybenzoic acid[c] + 0.5 oxygen[c] => 3-hexaprenyl-4,5-dihydroxybenzoic acid[c]"	YPL252C or YDR376W	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid[m] + H+[m] => 2-hexaprenyl-6-methoxyphenol[m] + carbon dioxide[m]	YDR538W and YDR539W	ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )
r_0045	3-hydroxy-L-kynurenine hydrolase	3-hydroxy-L-kynurenine[c] + H2O[c] => 3-hydroxyanthranilate[c] + H+[c] + L-alanine[c]	YLR231C	tryptophan metabolism ( sce00380 )
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	(S)-3-hydroxytetradecanoyl-CoA[p] + NAD[p] => 3-oxotetradecanoyl-CoA[p] + H+[p] + NADH[p]	YKR009C	fatty acid degradation ( sce00071 )
r_0058	"3-hydroxyanthranilate 3,4-dioxygenase"	3-hydroxyanthranilate[c] + oxygen[c] => 2-amino-3-carboxymuconate-6-semialdehyde[c]	YJR025C	tryptophan metabolism ( sce00380 )
r_0059	3-isopropylmalate 3-methyltransferase	"(2R,3S)-3-isopropylmalate[c] + S-adenosyl-L-methionine[c] => 3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate[c] + S-adenosyl-L-homocysteine[c]"	YER175C	complex alcohol metabolism
r_0060	3-isopropylmalate dehydratase	"(2R,3S)-3-isopropylmalate[c] <=> 2-isopropylmaleic acid[c] + H2O[c]"	YGL009C	"valine, leucine and isoleucine metabolism"
r_0061	3-isopropylmalate dehydrogenase	"(2R,3S)-3-isopropylmalate[c] + NAD[c] => (2S)-2-isopropyl-3-oxosuccinate[c] + H+[c] + NADH[c]"	YCL018W	"valine, leucine and isoleucine metabolism"
r_0062	3-methyl-2-oxobutanoate decarboxylase	3-methyl-2-oxobutanoate[c] + H+[c] => carbon dioxide[c] + isobutyraldehyde[c]	YGR087C or YLR044C or YLR134W	complex alcohol metabolism
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	"3-methyl-2-oxobutanoate[m] + 5,10-methylenetetrahydrofolate[m] + H2O[m] => 2-dehydropantoate[m] + THF[m]"	YBR176W	pantothenate and coa biosynthesis ( sce00770 )
r_0064	3-methyl-2-oxopentanoate decarboxylase	(S)-3-methyl-2-oxopentanoate[c] + H+[c] => 2-methylbutanal[c] + carbon dioxide[c]	YDL080C or YGR087C or YLR044C or YLR134W	complex alcohol metabolism
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	3-phosphoshikimic acid[c] + phosphoenolpyruvate[c] => 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c] + phosphate[c]	YDR127W	"phenylalanine, tyrosine and tryptophan biosynthesis ( sce00400 )"
r_0066	4-amino-4-deoxychorismate synthase	chorismate[c] + L-glutamine[c] => 4-amino-4-deoxychorismate[c] + L-glutamate[c]	YNR033W	folate biosynthesis ( sce00790 )
r_0067	4-aminobenzoate synthase	4-amino-4-deoxychorismate[c] => 4-aminobenzoate[c] + H+[c] + pyruvate[c]	YMR289W	folate biosynthesis ( sce00790 )
r_0068	4-aminobutyrate transaminase	2-oxoglutarate[c] + gamma-aminobutyrate[c] => L-glutamate[c] + succinic semialdehyde[c]	YGR019W	"alanine, aspartate and glutamate metabolism ( sce00250 )"
r_0069	4-hydroxy-L-threonine synthase	4-(phosphonooxy)-L-threonine[c] + H2O[c] => 4-hydroxy-L-threonine[c] + phosphate[c]	YCR053W	vitamin b6 metabolism ( sce00750 )
r_0070	4-hydroxybenzoate formation	4-hydroxybenzoyl-CoA[m] + H2O[m] => 4-hydroxybenzoate[m] + coenzyme A[m] + H+[m]		ubiquinone and other terpenoid-quinone biosynthesis ( sce00130 )
r_0072	4-methyl-2-oxopentanoate decarboxylase	4-methyl-2-oxopentanoate[c] + H+[c] => 3-methylbutanal[c] + carbon dioxide[c]	YDL080C	complex alcohol metabolism
r_0073	4PP-IP5 depyrophosphorylation to IP6	4-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] => H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]	YLR410W or YOR163W	inositol phosphate metabolism ( sce00562 )
r_0074	"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4"	"4-diphospho-1D-myo-inositol pentakisphosphate[c] + ATP[c] + H+[c] => 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + ADP[c]"	YDR017C	phosphatidylinositol signaling system ( sce04070 )
r_0075	5'-methylthioadenosine phosphorylase	5'-S-methyl-5'-thioadenosine[c] + phosphate[c] => adenine[c] + S-methyl-5-thio-alpha-D-ribose 1-phosphate[c]	YLR017W	cysteine and methionine metabolism ( sce00270 )
r_0076	5'-nucleotidase (CMP)	CMP[c] + H2O[c] => cytidine[c] + phosphate[c]	YER037W or YGL224C	nicotinate and nicotinamide metabolism ( sce00760 )
r_0077	5'-nucleotidase (IMP)	H2O[c] + IMP[c] => inosine[c] + phosphate[c]	YOR155C	purine metabolism ( sce00230 )
r_0078	5'-nucleotidase (UMP)	H2O[c] + UMP[c] => phosphate[c] + uridine[c]	YER037W or YGL224C	nicotinate and nicotinamide metabolism ( sce00760 )
r_0079	5'-phosphoribosylformyl glycinamidine synthetase	5'-phosphoribosyl-N-formylglycineamide[c] + ATP[c] + H2O[c] + L-glutamine[c] => 5'-phosphoribosyl-N-formylglycineamidine[c] + ADP[c] + H+[c] + L-glutamate[c] + phosphate[c]	YGR061C	purine metabolism ( sce00230 )
r_0080	"5,10-methylenetetrahydrofolate reductase (NADPH)"	"5,10-methylenetetrahydrofolate[c] + H+[c] + NADPH[c] => 5-methyltetrahydrofolate[c] + NADP(+)[c]"	YGL125W or YPL023C	one carbon pool by folate ( sce00670 )
r_0081	5-aminolevulinate synthase	H+[m] + L-glycine[m] + succinyl-CoA[m] => 5-aminolevulinate[m] + carbon dioxide[m] + coenzyme A[m]	YDR232W	porphyrin and chlorophyll metabolism ( sce00860 )
r_0082	"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase"	5-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] => H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]	YOR163W	inositol phosphate metabolism ( sce00562 )
r_0083	"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase"	ATP[c] + myo-inositol hexakisphosphate[c] => 5-diphospho-1D-myo-inositol pentakisphosphate[c] + ADP[c]	YDR017C	phosphatidylinositol signaling system ( sce04070 )
r_0084	5-formethyltetrahydrofolate cyclo-ligase	"5-formyltetrahydrofolic acid[c] + ATP[c] => 5,10-methenyl-THF[c] + ADP[c] + phosphate[c]"	YER183C	one carbon pool by folate ( sce00670 )
r_0085	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	5-methyltetrahydropteroyltri-L-glutamic acid[c] + L-homocysteine[c] => L-methionine[c] + tetrahydropteroyltri-L-glutamic acid[c]	YER091C	cysteine and methionine metabolism ( sce00270 )
r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	"S-methyl-5-thio-D-ribulose 1-phosphate[c] => 5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + H2O[c]"	YJR024C	cysteine and methionine metabolism ( sce00270 )
r_0087	5-methylthioribose-1-phosphate isomerase	S-methyl-5-thio-alpha-D-ribose 1-phosphate[c] <=> S-methyl-5-thio-D-ribulose 1-phosphate[c]	YPR118W	cysteine and methionine metabolism ( sce00270 )
r_0088	"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4"	"5-diphospho-1D-myo-inositol pentakisphosphate[c] + 2 H+[c] + phosphate[c] <=> 4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + H2O[c]"	YLR410W	inositol phosphate metabolism ( sce00562 )
r_0089	"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4"	"5-diphospho-1D-myo-inositol pentakisphosphate[c] + 2 H+[c] + phosphate[c] <=> 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + H2O[c]"	YLR410W	inositol phosphate metabolism ( sce00562 )
r_0090	6-phosphofructo-2-kinase	"ATP[c] + D-fructose 6-phosphate[c] => ADP[c] + beta-D-fructose 2,6-bisphosphate[c] + H+[c]"	YIL107C or YOL136C	fructose and mannose metabolism ( sce00051 )
r_0091	6-phosphogluconolactonase	"6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] => 6-phospho-D-gluconate[c] + H+[c]"	YGR248W or YHR163W	pentose phosphate pathway ( sce00030 )
r_0092	6PP-IP5 depyrophosphorylation to IP6	6-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] => H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]	YLR410W or YOR163W	inositol phosphate metabolism ( sce00562 )
r_0093	"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4"	"6-diphospho-1D-myo-inositol pentakisphosphate[c] + ATP[c] + H+[c] => 5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c] + ADP[c]"	YDR017C	phosphatidylinositol signaling system ( sce04070 )
r_0094	8-amino-7-oxononanoate synthase	H+[c] + L-alanine[c] + pimeloyl-CoA[c] => 8-amino-7-oxononanoate[c] + carbon dioxide[c] + coenzyme A[c]		biotin metabolism ( sce00780 )
r_0095	acetaldehyde condensation	2 acetaldehyde[c] => (R)-acetoin[c]	YGR087C or YLR044C or YLR134W	other
r_0096	acetohydroxy acid isomeroreductase	"2-acetyllactic acid[m] + H+[m] + NADPH[m] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]"	YLR355C	"valine, leucine and isoleucine metabolism"
r_0097	acetolactate synthase	H+[m] + 2 pyruvate[m] => 2-acetyllactic acid[m] + carbon dioxide[m]	(YCL009C and YMR108W) or YMR108W	"valine, leucine and isoleucine metabolism"
r_0099	acetyl-CoA ACP transacylase	acetyl-CoA[m] + ACP1[m] <=> acetyl-ACP[m] + coenzyme A[m]	YKL192C	fatty acid biosynthesis ( sce00061 )
r_0100	acetyl-CoA C-acyltransferase (palmitoyl-CoA)	3-oxooctadecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + palmitoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_0101	acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)	3-oxohexacosanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + tetracosanoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_0102	acetyl-CoA C-acyltransferase (myristoyl-CoA)	3-oxopalmitoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + myristoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_0103	acetyl-CoA C-acetyltransferase	2 acetyl-CoA[c] <=> acetoacetyl-CoA[c] + coenzyme A[c]	YPL028W	fatty acid degradation ( sce00071 )
r_0104	acetyl-CoA C-acetyltransferase	2 acetyl-CoA[m] <=> acetoacetyl-CoA[m] + coenzyme A[m]	YPL028W	fatty acid degradation ( sce00071 )
r_0105	acetyl-CoA C-acyltransferase (lauroyl-CoA)	3-oxotetradecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + lauroyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_0106	acetyl-CoA C-acyltransferase (octanoyl-CoA)	3-oxodecanoyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + octanoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_0107	acetyl-CoA C-acyltransferase (decanoyl-CoA)	3-oxolauroyl-CoA[p] + coenzyme A[p] => acetyl-CoA[p] + decanoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_0108	acetyl-Coa carboxylase	acetyl-CoA[m] + ATP[m] + bicarbonate[m] => ADP[m] + H+[m] + malonyl-CoA[m] + phosphate[m]	YMR207C	fatty acid biosynthesis ( sce00061 )
r_0109	"acetyl-CoA carboxylase, reaction"	acetyl-CoA[c] + ATP[c] + bicarbonate[c] => ADP[c] + H+[c] + malonyl-CoA[c] + phosphate[c]	YDL141W and YNR016C	fatty acid biosynthesis ( sce00061 )
r_0111	acetyl-CoA hydrolase	acetyl-CoA[m] + H2O[m] => acetate[m] + coenzyme A[m] + H+[m]	YBL015W	pyruvate metabolism ( sce00620 )
r_0112	acetyl-CoA synthetase	acetate[c] + ATP[c] + coenzyme A[c] => acetyl-CoA[c] + AMP[c] + diphosphate[c]	YAL054C or YLR153C	pyruvate metabolism ( sce00620 )
r_0113	acetyl-CoA synthetase	acetate[m] + ATP[m] + coenzyme A[m] => acetyl-CoA[m] + AMP[m] + diphosphate[m]	YAL054C	pyruvate metabolism ( sce00620 )
r_0114	acetyl-CoA synthetase nuclear	acetate[n] + ATP[n] + coenzyme A[n] => acetyl-CoA[n] + AMP[n] + diphosphate[n]	YLR153C	pyruvate metabolism ( sce00620 )
r_0115	acetylglutamate kinase	ATP[m] + N-acetyl-L-glutamate[m] => ADP[m] + N-acetyl-L-gamma-glutamyl phosphate[m]	YER069W	arginine biosynthesis ( sce00220 )
r_0116	acid phosphatase (secreted)	FMN[e] + H2O[e] => phosphate[e] + riboflavin[e]	YBR093C or YAR071W or YBR092C or YHR215W	riboflavin metabolism ( sce00740 )
r_0117	aconitase	"2-methylcitrate[m] <=> (2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid[m]"	YPR002W	propanoate metabolism ( sce00640 )
r_0118	acteylornithine transaminase	2-acetamido-5-oxopentanoate[m] + L-glutamate[m] => 2-oxoglutarate[m] + N(2)-acetyl-L-ornithine[m]	YOL140W	arginine biosynthesis ( sce00220 )
r_0119	acyl carrier protein synthase	"coenzyme A[m] + H2O[m] => adenosine 3',5'-bismonophosphate[m] + 2 H+[m] + pantetheine 4'-phosphate[m]"	YPL148C	pantothenate and coa biosynthesis ( sce00770 )
r_0120	acyl-CoA oxidase (decanoyl-CoA)	decanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dec-2-enoyl-CoA[p]	YGL205W	fatty acid degradation ( sce00071 )
r_0121	acyl-CoA oxidase (dodecanoyl-CoA)	lauroyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-dodec-2-enoyl-CoA[p]	YGL205W	fatty acid degradation ( sce00071 )
r_0122	acyl-CoA oxidase (hexacosanoyl-CoA)	hexacosanoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-hexacos-2-enoyl-CoA[p]	YGL205W	fatty acid degradation ( sce00071 )
r_0123	acyl-CoA oxidase (hexadecanoyl-CoA)	oxygen[p] + palmitoyl-CoA[p] => hexadec-2-enoyl-CoA[p] + hydrogen peroxide[p]	YGL205W	fatty acid degradation ( sce00071 )
r_0124	acyl-CoA oxidase (octadecanoyl-CoA)	oxygen[p] + stearoyl-CoA[p] => hydrogen peroxide[p] + trans-octadec-2-enoyl-CoA[p]	YGL205W	fatty acid degradation ( sce00071 )
r_0125	acyl-CoA oxidase (tetradecanoyl-CoA)	myristoyl-CoA[p] + oxygen[p] => hydrogen peroxide[p] + trans-tetradec-2-enoyl-CoA[p]	YGL205W	fatty acid degradation ( sce00071 )
r_0126	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane"	oleoyl-CoA[erm] + episterol[erm] <=> coenzyme A[erm] + episteryl oleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0127	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane"	oleoyl-CoA[erm] + ergosterol[erm] => coenzyme A[erm] + ergosteryl oleate[erm]	YCR048W or YNR019W	steroid biosynthesis ( sce00100 )
r_0128	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane"	oleoyl-CoA[erm] + fecosterol[erm] <=> coenzyme A[erm] + fecosteryl oleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0129	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane"	oleoyl-CoA[erm] + lanosterol[erm] => coenzyme A[erm] + lanosteryl oleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0130	"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane"	oleoyl-CoA[erm] + zymosterol[erm] <=> coenzyme A[erm] + zymosteryl oleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0131	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane"	palmitoleoyl-CoA(4-)[erm] + episterol[erm] <=> coenzyme A[erm] + episteryl palmitoleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0132	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane"	palmitoleoyl-CoA(4-)[erm] + ergosterol[erm] <=> coenzyme A[erm] + ergosteryl palmitoleate[erm]	YCR048W or YNR019W	steroid biosynthesis ( sce00100 )
r_0133	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane"	palmitoleoyl-CoA(4-)[erm] + fecosterol[erm] <=> coenzyme A[erm] + fecosteryl palmitoleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0134	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane"	palmitoleoyl-CoA(4-)[erm] + lanosterol[erm] <=> coenzyme A[erm] + lanosteryl palmitoleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0135	"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane"	palmitoleoyl-CoA(4-)[erm] + zymosterol[erm] <=> coenzyme A[erm] + zymosteryl palmitoleate[erm]	YCR048W	steroid biosynthesis ( sce00100 )
r_0137	"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3"	6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[er] + palmitoyl-CoA[er] <=> 6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol[er] + coenzyme A[er]	YJL091C	glycosylphosphatidylinositol (gpi)-anchor biosynthesis ( sce00563 )
